0000	6.000000000000000000e+04 1.026044683521766501e+03 3.500000000000000000e+00	5.19539e+18	4.90E+03	7.07689e-13 3.05812e-13	4.14532e-12	1.54541e-12 8.41267e-14
0001	6.000000000000000000e+04 1.026044683521766501e+03 4.000000000000000000e+00	1.71342e+18	4.90E+03	1.49723e-13 6.04829e-14	2.11103e-12	2.82435e-12 1.81044e-13
0002	6.000000000000000000e+04 1.026044683521766501e+03 4.500000000000000000e+00	6.09628e+17	4.90E+03	5.57337e-14 1.73749e-14	1.11423e-12	4.41243e-12 3.14715e-13
0003	6.000000000000000000e+04 1.291710751444522657e+03 3.500000000000000000e+00	5.19781e+18	6.17E+03	7.37189e-13 3.19741e-13	4.68922e-12	1.84862e-12 1.01723e-13
0004	6.000000000000000000e+04 1.291710751444522657e+03 4.000000000000000000e+00	1.71335e+18	6.17E+03	1.55773e-13 6.26548e-14	2.29943e-12	3.20593e-12 2.08681e-13
0005	6.000000000000000000e+04 1.291710751444522657e+03 4.500000000000000000e+00	6.09077e+17	6.17E+03	5.80244e-14 1.80619e-14	1.19061e-12	4.85149e-12 3.52052e-13
0006	6.000000000000000000e+04 1.626174978476519755e+03 3.500000000000000000e+00	5.19906e+18	7.77E+03	7.68686e-13 3.34552e-13	5.29612e-12	2.20444e-12 1.2262e-13
0007	6.000000000000000000e+04 1.626174978476519755e+03 4.000000000000000000e+00	1.71274e+18	7.77E+03	1.62833e-13 6.5233e-14	2.50542e-12	3.63267e-12 2.4e-13
0008	6.000000000000000000e+04 1.626174978476519755e+03 4.500000000000000000e+00	6.09062e+17	7.77E+03	6.01633e-14 1.87069e-14	1.26978e-12	5.31433e-12 3.91812e-13
0009	6.000000000000000000e+04 2.047228290505137920e+03 3.500000000000000000e+00	5.19911e+18	9.78E+03	8.009e-13 3.49687e-13	5.95954e-12	2.61417e-12 1.46974e-13
0010	6.000000000000000000e+04 2.047228290505137920e+03 4.000000000000000000e+00	1.71282e+18	9.78E+03	1.70894e-13 6.8214e-14	2.72579e-12	4.10195e-12 2.74887e-13
0011	6.000000000000000000e+04 2.047228290505137920e+03 4.500000000000000000e+00	6.09358e+17	9.78E+03	6.23796e-14 1.93747e-14	1.35242e-12	5.80468e-12 4.3415e-13
0012	6.000000000000000000e+04 2.577319587628865520e+03 3.500000000000000000e+00	5.19824e+18	1.23E+04	8.35327e-13 3.6587e-13	6.69858e-12	3.09076e-12 1.75595e-13
0013	6.000000000000000000e+04 2.577319587628865520e+03 4.000000000000000000e+00	1.71238e+18	1.23E+04	1.79958e-13 7.15272e-14	2.96122e-12	4.61639e-12 3.13542e-13
