60000	36.6	3.5	4.90e+03	2.12	0.91	12.40	4.62	0.25
60000	36.6	4.0	4.90e+03	0.45	0.18	6.31	8.45	0.54
60000	36.6	4.5	4.90e+03	0.17	0.05	3.33	13.19	0.94
60000	36.7	3.5	6.17e+03	2.20	0.96	14.02	5.53	0.30
60000	36.7	4.0	6.17e+03	0.47	0.19	6.88	9.59	0.62
60000	36.7	4.5	6.17e+03	0.17	0.05	3.56	14.51	1.05
60000	36.8	3.5	7.77e+03	2.30	1.00	15.84	6.59	0.37
60000	36.8	4.0	7.77e+03	0.49	0.20	7.49	10.86	0.72
60000	36.8	4.5	7.77e+03	0.18	0.06	3.80	15.89	1.17
60000	36.9	3.5	9.78e+03	2.39	1.05	17.82	7.82	0.44
60000	36.9	4.0	9.78e+03	0.51	0.20	8.15	12.27	0.82
60000	36.9	4.5	9.78e+03	0.19	0.06	4.04	17.36	1.30
60000	37.0	3.5	1.23e+04	2.50	1.09	20.03	9.24	0.53
60000	37.0	4.0	1.23e+04	0.54	0.21	8.86	13.80	0.94
60000	37.0	4.5	1.23e+04	0.19	0.06	4.30	18.92	1.43
60000	37.1	3.5	1.55e+04	2.60	1.14	22.40	10.85	0.62
60000	37.1	4.0	1.55e+04	0.57	0.22	9.62	15.50	1.07
60000	37.1	4.5	1.55e+04	0.20	0.06	4.57	20.54	1.57
60000	37.2	3.5	1.95e+04	2.70	1.19	24.98	12.68	0.74
60000	37.2	4.0	1.95e+04	0.60	0.24	10.42	17.34	1.21
60000	37.2	4.5	1.95e+04	0.21	0.06	4.86	22.31	1.73
60000	37.3	3.5	2.46e+04	2.80	1.24	27.84	14.78	0.87
60000	37.3	4.0	2.46e+04	0.63	0.25	11.29	19.34	1.36
60000	37.3	4.5	2.46e+04	0.21	0.07	5.15	24.13	1.88
60000	37.4	3.5	3.09e+04	2.90	1.29	30.86	17.10	1.01
60000	37.4	4.0	3.09e+04	0.67	0.26	12.19	21.49	1.53
60000	37.4	4.5	3.09e+04	0.22	0.07	5.46	26.09	2.05
60000	37.5	3.5	3.89e+04	3.00	1.34	34.20	19.75	1.18
60000	37.5	4.0	3.89e+04	0.70	0.27	13.14	23.77	1.71
60000	37.5	4.5	3.89e+04	0.23	0.07	5.79	28.19	2.23
60000	37.6	3.5	4.90e+04	3.09	1.39	37.71	22.64	1.36
60000	37.6	4.0	4.90e+04	0.74	0.28	14.17	26.27	1.90
60000	37.6	4.5	4.90e+04	0.24	0.07	6.12	30.32	2.41
80000	36.6	3.5	2.57e+03	2.03	0.87	10.02	3.48	0.19
80000	36.6	4.0	2.58e+03	0.45	0.18	5.48	6.77	0.42
80000	36.6	4.5	2.58e+03	0.18	0.05	3.05	11.56	0.81
80000	36.7	3.5	3.24e+03	2.11	0.91	11.39	4.17	0.23
80000	36.7	4.0	3.24e+03	0.47	0.18	5.98	7.69	0.48
80000	36.7	4.5	3.24e+03	0.18	0.06	3.24	12.63	0.90
80000	36.8	3.5	4.08e+03	2.20	0.95	12.93	4.98	0.28
80000	36.8	4.0	4.08e+03	0.48	0.19	6.51	8.70	0.55
80000	36.8	4.5	4.08e+03	0.19	0.06	3.44	13.78	0.99
80000	36.9	3.5	5.14e+03	2.28	0.99	14.60	5.91	0.33
80000	36.9	4.0	5.14e+03	0.50	0.20	7.08	9.82	0.63
80000	36.9	4.5	5.14e+03	0.19	0.06	3.65	14.99	1.09
80000	37.0	3.5	6.47e+03	2.37	1.03	16.46	7.00	0.40
